day,hours,humidity,temperature
1,0,64,37.9
1,1,61,37.9
1,2,64,37.9
1,3,61,37.9
1,4,62,37.9
1,5,62,37.9
1,6,62,37.9
1,7,62,37.9
1,8,63,37.9
1,9,64,37.9
1,10,61,37.9
1,11,63,37.9
1,12,63,37.9
1,13,63,37.9
1,14,63,37.9
1,15,63,37.9
1,16,62,37.9
1,17,64,37.9
1,18,63,37.9
1,19,63,37.9
1,20,64,37.9
1,21,64,37.9
1,22,64,37.9
1,23,63,37.9
2,0,64,37.9
2,1,64,37.9
2,2,64,37.9
2,3,64,37.9
2,4,63,37.9
2,5,62,37.9
2,6,63,37.9
2,7,63,37.9
2,8,62,37.9
2,9,64,37.9
2,10,61,37.9
2,11,63,37.9
2,12,63,37.9
2,13,62,37.9
2,14,62,37.9
2,15,64,37.9
2,16,62,37.9
2,17,62,37.9
2,18,62,37.9
2,19,62,37.9
2,20,64,37.9
2,21,62,37.9
2,22,63,37.9
2,23,62,37.9
3,0,50,37.5
3,1,54,37.7
3,2,50,37.6
3,3,51,37.6
3,4,54,37.6
3,5,53,37.6
3,6,54,37.7
3,7,52,37.6
3,8,53,37.6
3,9,50,37.6
3,10,50,37.6
3,11,51,37.6
3,12,52,37.5
3,13,52,37.6
3,14,52,37.5
3,15,52,37.5
3,16,54,37.6
3,17,50,37.6
3,18,52,37.6
3,19,54,37.6
3,20,53,37.6
3,21,51,37.6
3,22,54,37.6
3,23,50,37.5
4,0,53,37.6
4,1,51,37.6
4,2,51,37.5
4,3,54,37.6
4,4,53,37.6
4,5,52,37.6
4,6,53,37.6
4,7,52,37.6
4,8,53,37.6
4,9,54,37.6
4,10,53,37.6
4,11,53,37.6
4,12,53,37.6
4,13,50,37.6
4,14,51,37.6
4,15,52,37.6
4,16,50,37.6
4,17,51,37.5
4,18,51,37.6
4,19,53,37.6
4,20,50,37.6
4,21,50,37.6
4,22,54,37.6
4,23,53,37.6
5,0,52,37.6
5,1,50,37.6
5,2,52,37.5
5,3,53,37.6
5,4,50,37.6
5,5,54,37.6
5,6,50,37.6
5,7,53,37.6
5,8,50,37.6
5,9,50,37.6
5,10,51,37.6
5,11,50,37.6
5,12,53,37.6
5,13,54,37.7
5,14,52,37.6
5,15,54,37.7
5,16,53,37.6
5,17,54,37.6
5,18,50,37.5
5,19,53,37.6
5,20,52,37.6
5,21,53,37.6
5,22,53,37.6
5,23,52,37.6
6,0,53,37.6
6,1,52,37.6
6,2,54,37.6
6,3,51,37.6
6,4,52,37.6
6,5,50,37.6
6,6,51,37.6
6,7,51,37.6
6,8,52,37.6
6,9,53,37.6
6,10,54,37.6
6,11,54,37.6
6,12,50,37.6
6,13,50,37.6
6,14,52,37.6
6,15,54,37.6
6,16,53,37.6
6,17,54,37.6
6,18,53,37.6
6,19,52,37.6
6,20,51,37.6
6,21,54,37.6
6,22,53,37.6
6,23,54,37.6
7,0,52,37.6
7,1,50,37.6
7,2,50,37.6
7,3,52,37.6
7,4,54,37.6
7,5,54,37.6
7,6,53,37.6
7,7,51,37.6
7,8,54,37.6
7,9,51,37.6
7,10,53,37.6
7,11,52,37.6
7,12,52,37.6
7,13,53,37.6
7,14,53,37.6
7,15,53,37.6
7,16,51,37.6
7,17,50,37.6
7,18,51,37.6
7,19,50,37.6
7,20,50,37.6
7,21,52,37.6
7,22,51,37.6
7,23,50,37.6
8,0,54,37.6
8,1,52,37.6
8,2,50,37.6
8,3,51,37.6
8,4,50,37.6
8,5,52,37.6
8,6,50,37.6
8,7,51,37.6
8,8,51,37.6
8,9,54,37.6
